result,input_variables,source_cells,domain_functions,calculation_path,report_destinations
torque_lbft (legacy),"shaft_hp, legacy_torque_rpm","E21, E23 (1700)",torque_lbft(),T = HP * 5252 / 1700,head_balance
specific_speed_us,"pump_rpm, flow_gpm, tdh_ft, number_of_suction_eyes, number_of_stages","C29, E4, C28, -, -",specific_speed_us(),Ns = N * sqrt(Q/eye) / (H/stage)^0.75,head_balance
specific_speed_metric,"pump_rpm, flow_m3s, tdh_m, number_of_suction_eyes, number_of_stages","C29, E4, E24, -, -",specific_speed_metric(),nq = N * sqrt(Q_m3s/eye) / (H_m/stage)^0.75,head_balance
specific_speed_legacy,"pump_rpm, flow_gpm, tdh_m","C29, E4, E24",specific_speed_legacy(),Ns_leg = N * sqrt(Q_gpm) / H_m^0.75 (mixed units!),head_balance
pressure_head_terms,"U39=0.36 PSI, U40=79.77 PSI","TABLA DE ACCESORIOS DESCARGA!U39, U40, V39, V40, cell comments",src/domain/accessory_losses.py: build_pressure_head_terms(),"PressureHeadTerm dataclass: U39→INSTRUMENT_PRESSURE_DROP (DIFFERENTIAL, HIGH confidence), U40→MINIMUM_REQUIRED_EQUIPMENT_INLET_PRESSURE (UNKNOWN reference, USER_CONFIRMED_SEMANTICS)",pressure_head_semantics, pressure_conversion_comparison
semantic_tdh_balances,"static_head_diff, suct_major, disch_major, U39, U40","C21, C14, C26, U39, U40",src/domain/accessory_losses.py: build_semantic_tdh_balances(),"5 scenarios (A–E): WORKBOOK_LEGACY, SEMANTIC_RECLASSIFICATION_LEGACY_CONVERSION, VALIDATED_U40_AS_GAUGE, VALIDATED_U40_AS_ABSOLUTE, U40_EXCLUDED — with 9-component semantic breakdown (minimum_required, instrument, equipment_internal, vessel)",semantic_head_balance, pressure_term_scenarios
system_curve_classification,flow_dependence per component,n/a,src/domain/accessory_losses.py: build_system_curve_classification(),"FLOW_INDEPENDENT for elevation/minimum_inlet, QUADRATIC_WITH_FLOW for pipe/accessory, UNKNOWN for instrument, UNKNOWN/MANUFACTURER_CURVE for equipment drop",system_head_component_classification, system_curve_component_model
pressure_requirements,"U39=0.36 psi, U40=79.77 psi","U39, U40, cell comments",src/domain/accessory_losses.py: build_pressure_requirements(),"PressureRequirement model: term_id, name, term_type, value, unit, pressure_reference, flow_dependency, design_flow_gpm, active, source, confidence, user_confirmed, notes, nodes, combination_rule",equipment_pressure_requirement_model
combination_rules,boundary pressure terms on same node,n/a,src/domain/accessory_losses.py: combine_boundary_pressures(), detect_pressure_boundary_overlap(),"MAXIMUM_REQUIREMENT, ADDITIVE (requires confirmation), ALTERNATIVE_SCENARIOS (default), USER_DEFINED; PRESSURE_BOUNDARY_OVERLAP warning",pressure_boundary_combination_rules
pressure_term_scenarios,all 5 scenarios,"C21, C14, C26, U39, U40",src/domain/accessory_losses.py: build_semantic_tdh_balances(),"A: workbook legacy, B: semantic reclassification (same TDH), C: gauge+SG, D: absolute (not calculable), E: excluded (sensitivity only)",pressure_term_scenarios
2026-07-22 17:07:43,Hito 5.4A,BoundaryType,Enum,Created,6 boundary types (FREE_SURFACE through EQUIPMENT_OUTLET)
2026-07-22 17:07:43,Hito 5.4A,SystemBoundary,Dataclass,Created,"Typed boundary node with pressure, elevation, confidence"
2026-07-22 17:07:43,Hito 5.4A,PressureBoundaryResult,Dataclass,Created,Result container for boundary pressure computations
2026-07-22 17:07:43,Hito 5.4A,compute_source_boundary_absolute_pressure,Function,Created,GAUGE/ABSOLUTE/VACUUM variants for source boundary
2026-07-22 17:07:43,Hito 5.4A,required_boundary_pressure_head,Function,Created,4-reference rule engine (GAUGE/ABSOLUTE/DIFFERENTIAL/UNKNOWN)
2026-07-22 17:07:43,Hito 5.4A,DESTINATION_PRESSURE_BELOW_SOURCE_PRESSURE,Warning,Added,"Negative pressure differences are allowed, not clamped to zero"
2026-07-22 17:07:43,Hito 5.4A,build_semantic_tdh_balances,Function,Updated,D (ABSOLUTE) now calculable with source boundary; new E (UNKNOWN) scenario; 6 total scenarios
2026-07-22 17:07:43,Hito 5.4A,U40_REFERENCE_UNKNOWN,Scenario,Added,New E scenario returning PRESSURE_REFERENCE_REQUIRED
