cell_ref,variable,formula,equation,description,units,source
CALCULO DE BOMBA!C12,Suction Pipe Length (ft),=2.12*3.281,L_ft = L_m * 3.281,Suction pipe length conversion from meters to feet,"2.12 = meters, 3.281 = ft/m, result = ft",Unit conversion
CALCULO DE BOMBA!C13,Suction Friction Loss per ft (ft/ft),='CAIDA PRESION DE TUBERIA'!V19,hf_suction_per_ft = from suction pipe calc,Suction line friction loss per foot,ft/ft,From CAIDA PRESION DE TUBERIA suction calc
CALCULO DE BOMBA!C14,Total Suction Pipe Friction Loss (ft),=C12*C13,Hf_suction = L_suction * hf_per_ft,Total suction pipe friction loss,ft,Basic multiplication
CALCULO DE BOMBA!E14,NPSH Available (ft),=((C8+E8)*(2.31/E11))+C9-C11-C14-E9,NPSHa = (Patm + Pvessel) * 2.31/SG + Hs - Hf_acc - Hf_pipe - Pv,Net Positive Suction Head Available,"C8=psia, E8=psig, 2.31=psi->ft, E11=SG, C9=ft, C11=ft, C14=ft, E9=ft",Standard NPSH formula
CALCULO DE BOMBA!E20,Hydraulic Power (HP),=(E4*C28*E11)/3960,P_hyd = Q * TDH * SG / 3960,Hydraulic horsepower,"Q=GPM, TDH=ft, SG=specific gravity, 3960=constant, result=HP",Standard pump power formula
CALCULO DE BOMBA!E21,Brake Power (HP),=E20/C22,P_brake = P_hyd / η_pump,Power at pump shaft,"E20=hydraulic HP, C22=pump efficiency, result=HP",Pump power definition
CALCULO DE BOMBA!E22,Brake Power (kW),=E21*0.7456,P_kW = P_HP * 0.7456,Brake power conversion to kW,HP to kW,Unit conversion
CALCULO DE BOMBA!E23,Torque (lb-ft),=(E21*5252)/1700,T = HP * 5252 / RPM,Shaft torque at rated speed,"E21=HP, 5252=constant, 1700=RPM, result=lb-ft",Torque-power-speed relationship
CALCULO DE BOMBA!E24,TDH (meters),=C28*0.3048,TDH_m = TDH_ft * 0.3048,Total Dynamic Head in meters,ft to m conversion,Unit conversion
CALCULO DE BOMBA!E25,Flow (LPM),=E4*3.7854,Q_LPM = Q_GPM * 3.7854,Flow rate conversion to LPM,GPM to LPM,Unit conversion
CALCULO DE BOMBA!E27,Specific Speed (Ns),=(C29*(E4^0.5))/(E24^0.75),Ns = N * sqrt(Q) / H^0.75,Pump specific speed (imperial units),"N=RPM, Q=GPM, H=ft, result=dimensionless (US units)",Specific speed definition
CALCULO DE BOMBA!C28,Total Dynamic Head (ft),=C11+C14+C21+C24+C26,TDH = Hf_suc_acc + Hf_suc_pipe + H_static + Hf_dis_acc + Hf_dis_pipe,Total Dynamic Head = sum of all head losses + static head,All terms in ft,System head summation
RAMALES!D10,Velocity (ft/s),=(4*(D9/448.8309))/(PI()*(D8/12)*(D8/12)),V = 4Q / (πD²),Flow velocity in pipe,"D9=GPM, 448.8309=GPM->ft³/s, D8=inches, result=ft/s",Continuity equation
RAMALES!D12,Discharge Pipe Friction Loss per ft (ft/ft),=((('CAIDA PRESION DE TUBERIA'!$G$17*'CAIDA PRESION DE TUBERIA'!$G$16*'CAIDA PRESION DE TUBERIA'!$G$9*(D9^2))/(('CAIDA PRESION DE TUBERIA'!$G$7*(D9/D10)^0.5)^5))*2.3071)*'CAIDA PRESION DE TUBERIA'!$G$18,hf/L = f * (V²/2g) / D,Discharge pipe friction loss per unit length,"Complex - uses friction factor, velocity, density from other sheet",Darcy-Weisbach via reference sheet
RESUMEN PARA PDF!B28,Total Dynamic Head (ft),=(B21+C23+C24+C25+C26)*1,TDH = H_static + Hf_suc_acc + Hf_suc_pipe + Hf_dis_acc + Hf_dis_pipe,Total Dynamic Head from component summation,All terms in ft,System head curve summation
RESUMEN PARA PDF!D28,TDH (psi),=B28/2.31,P_psi = TDH_ft / 2.31,Head to pressure conversion,ft to psi (assuming SG=1),Standard conversion
TABLA DE ACCESORIOS DESCARGA!I7,Accessory Equivalent Length (ft),=((D7*F7)*($H$2^2)/(32.4*2))*H7,Leq = K * V² / (2g) * (1/D) * count? or Leq = f * L/D...,Equivalent length of fitting (Crane method),"D7=ft (from table), F7=K factor, H2=V ft/s, 32.4=2g?, H7=quantity",Crane TP-410 method
TABLA DE ACCESORIOS DESCARGA!U41,Sum of accessory losses (ft),=(SUM(U7:U40))*2.31,Total_accessory_head = sum * 2.31,Accessory losses converted to head,"U7:U40=psi?, *2.31 -> ft",Pressure to head conversion
