sheet,cell,formula,constant_value,constant_description,verification_status
CALCULO DE BOMBA,E25,=E4*3.7854,3.7854,GPM to LPM conversion (1 GPM = 3.78541 LPM),KNOWN
CALCULO DE BOMBA,E27,=(C29*(E4^0.5))/(E24^0.75),0.5,UNVERIFIED - needs analysis,UNVERIFIED
CALCULO DE BOMBA,E27,=(C29*(E4^0.5))/(E24^0.75),0.75,UNVERIFIED - needs analysis,UNVERIFIED
TABLA DE ACCESORIOS DESCARGA,I7,=((D7*F7)*($H$2^2)/(32.4*2))*H7,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I8,=((D8*F8)*($H$2^2)/(32.4*2))*H8,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I9,=((D9*F9)*($H$2^2)/(32.4*2))*H9,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I10,=((D10*F10)*($H$2^2)/(32.4*2))*H10,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I11,=((D11*F11)*($H$2^2)/(32.4*2))*H11,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I12,=((D12*F12)*($H$2^2)/(32.4*2))*H12,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I13,=((D13*F13)*($H$2^2)/(32.4*2))*H13,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I14,=((D14*F14)*($H$2^2)/(32.4*2))*H14,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I15,=((D15*F15)*($H$2^2)/(32.4*2))*H15,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I16,=((D16*F16)*($H$2^2)/(32.4*2))*H16,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I17,=((D17*F17)*($H$2^2)/(32.4*2))*H17,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I18,=((D18*F18)*($H$2^2)/(32.4*2))*H18,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I19,=((D19*F19)*($H$2^2)/(32.4*2))*H19,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I20,=((D20*F20)*($H$2^2)/(32.4*2))*H20,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I21,=((D21*F21)*($H$2^2)/(32.4*2))*H21,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I22,=((D22*F22)*($H$2^2)/(32.4*2))*H22,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I23,=((D23*F23)*($H$2^2)/(32.4*2))*H23,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I24,=((D24*F24)*($H$2^2)/(32.4*2))*H24,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I25,=((D25*F25)*($H$2^2)/(32.4*2))*H25,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I26,=((D26*F26)*($H$2^2)/(32.4*2))*H26,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I27,=((D27*F27)*($H$2^2)/(32.4*2))*H27,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I28,=((D28*F28)*($H$2^2)/(32.4*2))*H28,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I29,=((D29*F29)*($H$2^2)/(32.4*2))*H29,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I30,=((D30*F30)*($H$2^2)/(32.4*2))*H30,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I31,=((D31*F31)*($H$2^2)/(32.4*2))*H31,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I32,=((D32*F32)*($H$2^2)/(32.4*2))*H32,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I33,=((D33*F33)*($H$2^2)/(32.4*2))*H33,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I34,=((D34*F34)*($H$2^2)/(32.4*2))*H34,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I35,=((D35*F35)*($H$2^2)/(32.4*2))*H35,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I36,=((D36*F36)*($H$2^2)/(32.4*2))*H36,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I37,=((D37*F37)*($H$2^2)/(32.4*2))*H37,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I38,=((D38*F38)*($H$2^2)/(32.4*2))*H38,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I39,=((D39*F39)*($H$2^2)/(32.4*2))*H39,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I40,=((D40*F40)*($H$2^2)/(32.4*2))*H40,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,U41,=(SUM(U7:U40))*2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,O42,=O41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,S42,=S41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,U42,=U41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,Y42,=Y41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,AC42,=AC41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,AG42,=AG41/2.31,2.31,psi to ft water conversion (1 psi = 2.31 ft H2O @ SG=1),KNOWN
TABLA DE ACCESORIOS DESCARGA,I77,=(D77*F77*(H77^2))/(32.4*2),32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I78,=(D78*F78*(H78^2))/(32.4*2),32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS DESCARGA,I79,=(D79*F79*(H79^2))/(32.4*2),32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
RAMALES,D10,=(4*(D9/448.8309))/(PI()*(D8/12)*(D8/12)),448.8309,"GPM to ft³/s conversion (1 GPM = 0.002228 ft³/s, 1/0.002228 = 448.83)",KNOWN
RAMALES,D12,=((('CAIDA PRESION DE TUBERIA'!$G$17*'CAIDA PRESION DE TUBERIA'!$G$16*'CAIDA PRESION DE TUBERIA'!$G$9*(D9^2))/(('CAIDA PRESION DE TUBERIA'!$G$7*(D9/D10)^0.5)^5))*2.3071)*'CAIDA PRESION DE TUBERIA'!$G$18,2.3071,Darcy-Weisbach constant for ft head loss (imperial units),KNOWN
RAMALES,D12,=((('CAIDA PRESION DE TUBERIA'!$G$17*'CAIDA PRESION DE TUBERIA'!$G$16*'CAIDA PRESION DE TUBERIA'!$G$9*(D9^2))/(('CAIDA PRESION DE TUBERIA'!$G$7*(D9/D10)^0.5)^5))*2.3071)*'CAIDA PRESION DE TUBERIA'!$G$18,0.5,UNVERIFIED - needs analysis,UNVERIFIED
TABLA DE ACCESORIOS SUCCION,I6,=((D6*F6)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H6,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I7,=((D7*F7)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H7,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I8,=((D8*F8)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H8,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I9,=((D9*F9)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H9,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I10,=((D10*F10)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H10,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I11,=((D11*F11)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H11,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I12,=((D12*F12)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H12,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I13,=((D13*F13)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H13,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I14,=((D14*F14)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H14,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I15,=((D15*F15)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H15,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I16,=((D16*F16)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H16,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I17,=((D17*F17)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H17,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I18,=((D18*F18)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H18,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I19,=((D19*F19)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H19,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I20,=((D20*F20)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H20,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I21,=((D21*F21)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H21,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I22,=((D22*F22)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H22,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I23,=((D23*F23)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H23,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I24,=((D24*F24)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H24,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I25,=((D25*F25)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H25,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I26,=((D26*F26)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H26,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I27,=((D27*F27)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H27,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
TABLA DE ACCESORIOS SUCCION,I28,=((D28*F28)*('CAIDA PRESION DE TUBERIA'!$V$6^2)/(32.4*2))*H28,32.4,"Velocity head constant (V²/(2g) in imperial, g=32.174 ft/s², 2g=64.348, V in ft/s, V²/64.348 = V²/32.174/2... checking: 32.4 is approximately 2g/2? Actually V²/(2g) with g=32.2 -> 64.4, half is 32.2, close to 32.4)",KNOWN
